Model,Scenario,Region,Year,Residues,Energy_crops,Waste,Solid_total,Prim_eng_bio,Unit,Share_energy_crops,Source,Estimation
AIM,SSP3-Baseline,World,2070,142040.5743,363116.1875,,,,Kt/yr,0.72,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-Baseline,World,2080,184327.365,496629.5578,,,,Kt/yr,0.73,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-Baseline,World,2090,227577.2206,603703.5709,,,,Kt/yr,0.73,Internal document,Share = Energy crops / (Energy crops + Residues)
AIM,SSP3-Baseline,World,2100,288699.8751,738667.3766,,,,Kt/yr,0.72,Internal document,Share = Energy crops / (Energy crops + Residues)
GLOBIOM,SSP1-19,World,2020,,15.81657011,,45.52565995,,EJ/yr,0.35,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-19,World,2030,,28.40357011,,42.36999412,,EJ/yr,0.67,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-19,World,2040,,45.20818695,,51.96854652,,EJ/yr,0.87,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-19,World,2050,,67.21891446,,82.06622654,,EJ/yr,0.82,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-19,World,2060,,91.88306704,,119.4792347,,EJ/yr,0.77,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-19,World,2070,,112.2555642,,150.3655642,,EJ/yr,0.75,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-19,World,2080,,129.0248103,,175.3328103,,EJ/yr,0.74,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-19,World,2090,,142.4224432,,196.0414432,,EJ/yr,0.73,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-19,World,2100,,153.9407291,,214.5657291,,EJ/yr,0.72,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-26,World,2020,,18.52957011,,48.08105979,,EJ/yr,0.39,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-26,World,2030,,26.72557011,,40.71597678,,EJ/yr,0.66,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-26,World,2040,,37.66218695,,43.02303992,,EJ/yr,0.88,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-26,World,2050,,49.98818695,,55.25240757,,EJ/yr,0.9,Internal document,Share = (Energy crops / Solid total bioenergy)
GLOBIOM,SSP1-26,World,2060,,67.55347338,,73.92299502,,EJ/yr,0.91,Internal document,Share = (Energy crops / Solid total bioenergy)
